副本ID(主线支线挑战为类型ID+世界ID+2位序号，其他为类型ID+4位序号)  探索是11开头的,副本类型（1：主线；2：挑战；3：活动副本；4:多人副本；5：PVP调用；6；庇护所调用；7：支线副本；8：亲密度副本；9：限时活动副本; 10:守护试炼 11：探索副本 12:转职副本 14：公会矿洞 15:幻卡 16:百层塔 17：公会战 21:天守阁）,世界ID,副本名称,副本等级,副本经验,角色经验,副本消耗类型（消耗类型ID）,进入副本消耗,完成副本消耗,副本限制人数,副本阵容ID,前置副本,解锁等级,对应的主线本ID,星级条件描述,星级条件脚本,星级条件奖励类型,星级条件奖励数量,Lua脚本,布阵摄像机,战斗摄像机,结算展示摄像机,结算摄像机,影子摄像机,副本攻略,副本攻略概述（12字）,限制类型1(0：无限制1：限定某些角色登场2：限定某职业角色登场3：限定等级以上角色登场4：限定某性别角色登场5：限定某势力角色登场),限制参数1,限制类型2,限制参数2,副本技能(玩家队伍光环技能),副本特殊要求ICON,副本特殊要求说明,进入布阵时触发的剧情,结算完成后战斗场景触发的剧情,结算完成后中地图触发的剧情,限制次数,是否可以扫荡(1可以0不可以）,亲密度,副本职业,副本战斗力,回合耗尽(0:不显示 1：回合耗尽后，战斗失败 :2：回合耗尽后，战斗胜利）,副本金币和boss伤害挂钩（X+伤害^y*z)，伤害不超过boss血量R,公会战防御队伍出站人数
20613,2,6,106131,76,50,20,4,2,3,4,2,20612,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_03_03.lua,,,,,ShadowCamera3,0,101013,2,11;13;15,0,0,0,buzhen_icon_20,1496,0,0,0,0,0,1,0,973,1,0,0
20614,2,6,106141,76,50,20,4,2,3,4,2,20613,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_03_04.lua,,,,,ShadowCamera3,103142,101013,2,11;13;15,0,0,0,buzhen_icon_20,1496,0,0,0,0,0,1,0,973,1,0,0
20615,2,6,106151,76,50,20,4,2,3,4,2,20614,70,0,1026;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep06_03_05.lua,,,,,ShadowCamera3,103152,101013,2,11;13;15,0,0,0,buzhen_icon_10;buzhen_icon_20,1577;1496,0,0,0,0,0,1,0,973,2,0,0
20616,2,6,106161,78,50,20,4,2,3,4,2,20615,70,10620,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_04_01.lua,,,,,ShadowCamera3,103162,101013,2,12;14;15,0,0,0,buzhen_icon_20,1481,0,0,0,0,0,1,0,973,1,0,0
20617,2,6,106171,78,50,20,4,2,3,4,2,20616,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_04_02.lua,,,,,ShadowCamera3,103172,101013,2,12;14;15,0,0,0,buzhen_icon_20,1481,0,0,0,0,0,1,0,973,1,0,0
20618,2,6,106181,78,50,20,4,2,3,4,2,20617,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_04_03.lua,,,,,ShadowCamera3,0,101013,2,12;14;15,0,0,0,buzhen_icon_20,1481,0,0,0,0,0,1,0,973,1,0,0
20619,2,6,106191,78,50,20,4,2,3,4,2,20618,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_04_04.lua,,,,,ShadowCamera3,103192,101013,2,12;14;15,0,0,0,buzhen_icon_10;buzhen_icon_20,1578;1481,0,0,0,0,0,1,0,973,1,0,0
20620,2,6,106201,78,50,20,4,2,3,4,2,20619,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_04_05.lua,,,,,ShadowCamera3,0,101013,2,12;14;15,0,0,0,buzhen_icon_20,1481,0,0,0,0,0,1,0,973,1,0,0
20621,2,6,106211,80,50,20,4,2,3,4,2,20620,70,10625,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_05_01.lua,,,,,ShadowCamera3,0,101013,2,11;12;14;,0,0,0,buzhen_icon_20,1497,0,0,0,0,0,1,0,973,1,0,0
20622,2,6,106221,80,50,20,4,2,3,4,2,20621,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_05_02.lua,,,,,ShadowCamera3,0,101013,2,11;12;14;,0,0,0,buzhen_icon_20,1497,0,0,0,0,0,1,0,973,1,0,0
20623,2,6,106231,80,50,20,4,2,3,4,2,20622,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_05_03.lua,,,,,ShadowCamera3,0,101013,2,11;12;14;,0,0,0,buzhen_icon_20,1497,0,0,0,0,0,1,0,973,1,0,0
20624,2,6,106241,80,50,20,4,2,3,4,2,20623,70,0,1001;1025;1014,BaseStar;ThreeRoundStar;FiveRoundStar,2;2,3;3;3,hep06_05_04.lua,,,,,ShadowCamera3,103242,101013,2,11;12;14;,0,0,0,buzhen_icon_10;buzhen_icon_20,1579;1497,0,0,0,0,0,1,0,973,1,0,0
20625,2,6,106251,80,50,20,4,2,3,4,2,20624,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_05_05.lua,,,,,ShadowCamera3,0,101013,2,11;12;14;,0,0,0,buzhen_icon_20,1497,0,0,0,0,0,1,0,973,1,0,0
20626,2,6,106261,80,50,20,4,2,3,4,2,20625,70,10630,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_06_01.lua,,,,,ShadowCamera3,103262,101013,2,12;13;15,0,0,0,buzhen_icon_20,1498,0,0,0,0,0,1,0,973,1,0,0
20627,2,6,106271,80,50,20,4,2,3,4,2,20626,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_06_02.lua,,,,,ShadowCamera3,103272,101013,2,12;13;15,0,0,0,buzhen_icon_20,1498,0,0,0,0,0,1,0,973,1,0,0
20628,2,6,106281,80,50,20,4,2,3,4,2,20627,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_06_03.lua,,,,,ShadowCamera3,103282,101013,2,12;13;15,0,0,0,buzhen_icon_20,1498,0,0,0,0,0,1,0,973,1,0,0
20629,2,6,106291,80,50,20,4,2,3,4,2,20628,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_06_04.lua,,,,,ShadowCamera3,103292,101013,2,12;13;15,0,0,0,buzhen_icon_20,1498,0,0,0,0,0,1,0,973,1,0,0
20630,2,6,106301,80,50,20,4,2,3,4,2,20629,70,0,1026;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep06_06_05.lua,,,,,ShadowCamera3,103302,101013,2,12;13;15,0,0,0,buzhen_icon_10;buzhen_icon_20,1577;1498,0,0,0,0,0,1,0,973,2,0,0
20631,2,6,106311,80,50,20,4,2,3,4,2,20630,70,10635,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_07_01.lua,,,,,ShadowCamera3,103312,101013,2,11;14;15,0,0,0,buzhen_icon_20,1489,0,0,0,0,0,1,0,973,1,0,0
20632,2,6,106321,80,50,20,4,2,3,4,2,20631,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_07_02.lua,,,,,ShadowCamera3,103322,101013,2,11;14;15,0,0,0,buzhen_icon_20,1489,0,0,0,0,0,1,0,973,1,0,0
20633,2,6,106331,80,50,20,4,2,3,4,2,20632,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_07_03.lua,,,,,ShadowCamera3,0,101013,2,11;14;15,0,0,0,buzhen_icon_20,1489,0,0,0,0,0,1,0,973,1,0,0
20634,2,6,106341,80,50,20,4,2,3,4,2,20633,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_07_04.lua,,,,,ShadowCamera3,103342,101013,2,11;14;15,0,0,0,buzhen_icon_20,1489,0,0,0,0,0,1,0,973,1,0,0
20635,2,6,106351,80,50,20,4,2,3,4,2,20634,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep06_07_05.lua,,,,,ShadowCamera3,103352,101013,2,11;14;15,0,0,0,buzhen_icon_20,1489,0,0,0,0,0,1,0,973,1,0,0
30001,3,1,300011,10,50,20,4,3,2,4,30,0,0,0,1001;1002;1003,0,0,3;3;3,ep01_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,503,1,0,0
30002,3,1,300021,10,50,20,4,3,2,4,30,0,0,0,1001;1002;1003,0,0,3;3;3,ep01_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,503,1,0,0
30003,3,1,300031,10,50,20,4,3,2,4,30,0,0,0,1001;1002;1003,0,0,3;3;3,ep01_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,503,1,0,0
30004,3,1,300041,10,50,20,4,3,2,4,30,0,0,0,1001;1002;1003,0,0,3;3;3,ep01_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,503,1,0,0
30011,3,1,300011,10,50,20,4,3,2,4,31,0,10,0,1001;1003;1009,BaseStar;AllPlayerLiveStar;AllMonsterDead,2;2,3;3;3,gold01_01.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,582,0,6532;0.75;13;120,0
30012,3,1,300011,30,50,20,4,3,2,4,31,30011,30,0,1001;1003;1009,BaseStar;AllPlayerLiveStar;AllMonsterDead,2;2,3;3;3,gold01_02.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,582,0,19405;0.71;22;120,0
30013,3,1,300011,50,50,20,4,3,2,4,31,30012,50,0,1001;1003;1009,BaseStar;AllPlayerLiveStar;AllMonsterDead,2;2,3;3;3,gold01_03.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,582,0,37839;0.67;30;120,0
30014,3,1,300011,70,50,20,4,3,2,4,31,30013,70,0,1001;1003;1009,BaseStar;AllPlayerLiveStar;AllMonsterDead,2;2,3;3;3,gold01_04.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,582,0,39657;0.66;35;120,0
30021,3,1,300021,10,50,20,4,3,2,4,32,0,10,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,exp01_01.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,582,1,0,0
30022,3,1,300021,30,50,20,4,3,2,4,32,30021,30,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,exp01_02.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,582,1,0,0
30023,3,1,300021,50,50,20,4,3,2,4,32,30022,50,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,exp01_03.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,582,1,0,0
30024,3,1,300021,70,50,20,4,3,2,4,32,30023,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,exp01_04.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,582,1,0,0
30031,3,1,300031,10,50,20,4,3,2,4,33,0,10,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,equip01_01.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,582,1,0,0
30032,3,1,300031,30,50,20,4,3,2,4,33,30031,30,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,equip01_02.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,582,1,0,0
30033,3,1,300031,50,50,20,4,3,2,4,33,30032,50,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,equip01_03.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,582,1,0,0
30034,3,1,300031,70,50,20,4,3,2,4,33,30033,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,equip01_04.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,582,1,0,0
50001,5,1,999,10,50,20,4,0,0,4,50,0,0,0,1001;1002;1003,0,0,3;3;3,scene_onlinepvp_1.lua,,,,,ShadowCamera1,0,0,0,0,0,0,3005004;3005005;3005201,,0,0,0,0,0,0,0,0,500,1,0,0
50002,5,1,999,10,50,20,4,0,0,3,51,0,0,0,1001;1002;1003,0,0,3;3;3,scene_onlinepvp_2.lua,,,,,ShadowCamera1,0,0,0,0,0,0,3005001;3005004;3005005;3005201,buzhen_icon_2,1521,0,0,0,0,0,0,0,500,1,0,0
50003,5,1,999,10,50,20,4,0,0,3,52,0,0,0,1001;1002;1003,0,0,3;3;3,scene_onlinepvp_3.lua,,,,,ShadowCamera1,0,0,0,0,0,0,3005003;3005004;3005005;3005201,buzhen_icon_5,1523,0,0,0,0,0,0,0,500,1,0,0
50004,5,1,999,10,50,20,4,0,0,4,53,0,0,0,1001;1002;1003,0,0,3;3;3,scene_onlinepvp_4.lua,,,,,ShadowCamera1,0,0,0,0,0,0,3005002;3005004;3005005;3005201,buzhen_icon_3,1522,0,0,0,0,0,0,0,500,1,0,0
50005,5,1,999,10,50,20,4,0,0,3,54,0,0,0,1001;1002;1003,0,0,3;3;3,50005.lua,,,,,ShadowCamera1,0,0,0,0,0,0,3005004;3005005;3005201;3000008,buzhen_icon_8,1516,0,0,0,0,0,0,0,500,1,0,0
50006,5,1,999,10,50,20,4,0,0,4,55,0,0,0,1001;1002;1003,0,0,3;3;3,50006.lua,,,,,ShadowCamera1,0,0,0,0,0,0,3005004;3005005;3005201;3005006,buzhen_icon_4,1531,0,0,0,0,0,0,0,500,1,0,0
50007,5,1,999,10,50,20,4,0,0,3,56,0,0,0,1001;1002;1003,0,0,3;3;3,50007.lua,,,,,ShadowCamera1,0,0,0,0,0,0,3005004;3005005;3005201;3005006,,0,0,0,0,0,0,0,0,500,1,0,0
50008,5,1,999,10,50,20,4,0,0,4,57,0,0,0,1001;1002;1003,0,0,3;3;3,50008.lua,,,,,ShadowCamera1,0,0,0,0,0,0,3005004;3005005;3005201;3005006,,0,0,0,0,0,0,0,0,500,1,0,0
50009,5,1,999,10,50,20,4,0,0,4,58,0,0,0,1001;1002;1003,0,0,3;3;3,50009.lua,,,,,ShadowCamera1,0,0,0,0,0,0,3005004;3005005;3005201;3005006,,0,0,0,0,0,0,0,0,500,1,0,0
50010,5,1,999,10,50,20,4,0,0,4,59,0,0,0,1001;1002;1003,0,0,3;3;3,50010.lua,,,,,ShadowCamera1,0,0,0,0,0,0,3005004;3005005;3005201;3005006,buzhen_icon_8;buzhen_icon_10,1553;1574,0,0,0,0,0,0,0,500,1,0,0
50011,5,1,999,10,50,20,4,0,0,4,60,0,0,0,1001;1002;1003,0,0,3;3;3,50011.lua,,,,,ShadowCamera1,0,0,0,0,0,0,3005004;3005005;3005201;3005006,buzhen_icon_8;buzhen_icon_10,1554;1574,0,0,0,0,0,0,0,500,1,0,0
50012,5,1,999,10,50,20,4,0,0,3,61,0,0,0,1001;1002;1003,0,0,3;3;3,50012.lua,,,,,ShadowCamera1,0,0,0,0,0,0,3005004;3005005;3005201;3005006,buzhen_icon_8;buzhen_icon_10,1555;1574,0,0,0,0,0,0,0,500,1,0,0
51001,13,1,999,10,50,20,4,0,0,4,130,0,0,0,1001;1002;1003,0,0,3;3;3,scene_offlinepvp_1.lua,,,,,ShadowCamera1,0,0,0,0,0,0,3005013,,0,0,0,0,0,0,0,0,500,1,0,0
51002,13,1,999,10,50,20,4,0,0,4,131,0,0,0,1001;1002;1003,0,0,3;3;3,arena_02.lua,,,,,ShadowCamera1,0,0,0,0,0,0,3005013,,0,0,0,0,0,0,0,0,500,1,0,0
51003,13,1,999,10,50,20,4,0,0,4,132,0,0,0,1001;1002;1003,0,0,3;3;3,arena_03.lua,,,,,ShadowCamera1,0,0,0,0,0,0,3005013,,0,0,0,0,0,0,0,0,500,1,0,0
51004,13,1,999,10,50,20,4,0,0,4,133,0,0,0,1001;1002;1003,0,0,3;3;3,arena_04.lua,,,,,ShadowCamera1,0,0,0,0,0,0,3005013,,0,0,0,0,0,0,0,0,500,1,0,0
51005,13,1,999,10,50,20,4,0,0,4,134,0,0,0,1001;1002;1003,0,0,3;3;3,arena_05.lua,,,,,ShadowCamera1,0,0,0,0,0,0,3005013,,0,0,0,0,0,0,0,0,500,1,0,0
61001,15,1,999,10,50,20,4,0,0,4,130,0,0,0,1001;1002;1003,0,0,3;3;3,scene_offlinepvp_1.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,500,1,0,0
61002,15,1,999,10,50,20,4,0,0,4,131,0,0,0,1001;1002;1003,0,0,3;3;3,arena_02.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,500,1,0,0
61003,15,1,999,10,50,20,4,0,0,4,132,0,0,0,1001;1002;1003,0,0,3;3;3,arena_03.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,500,1,0,0
61004,15,1,999,10,50,20,4,0,0,4,133,0,0,0,1001;1002;1003,0,0,3;3;3,arena_04.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,500,1,0,0
61005,15,1,999,10,50,20,4,0,0,4,134,0,0,0,1001;1002;1003,0,0,3;3;3,arena_05.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,500,1,0,0
80001,8,1,101011,10,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_xingluo_03.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80002,8,1,101131,10,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_xingluo_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,11003,0,0,0,0,0,,0,0,0,0,0,0,0,0,503,1,0,0
80003,8,1,101011,10,0,0,4,0,0,2,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_niyasi_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80004,8,1,101011,10,0,0,4,0,0,2,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_luqiya_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80005,8,1,101011,10,0,0,4,0,0,2,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_shenmilvren_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80006,8,1,101011,10,0,0,4,0,0,2,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_zhourubing_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80007,8,1,101011,10,0,0,4,0,0,2,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_ningwei_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80008,8,1,101011,10,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_xingluo_02.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80009,8,1,101011,10,0,0,4,0,0,2,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_aisi_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80010,8,1,101011,10,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_moni_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80011,8,1,101011,10,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_diliyajiejie_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80012,8,1,101011,10,0,0,4,0,0,2,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_shou_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80013,8,1,101011,10,0,0,4,0,0,2,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_suomiya_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80014,8,1,101011,10,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_xingluo_04.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80015,8,1,101011,10,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_shayejia_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80016,8,1,101011,10,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_chunri_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80017,8,1,101011,10,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_xiao_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80018,8,1,101011,10,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_xiao_02.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80019,8,1,101011,10,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_yan_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80020,8,1,101011,10,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_shiliuye_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80021,8,1,101011,10,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_shiliuye_02.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80022,8,1,101011,10,0,0,4,0,0,2,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_diliyadidi_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80023,8,1,101011,10,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_shengji_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80024,8,1,101011,10,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_feina_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80025,8,1,101011,10,0,0,4,0,0,2,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_yuelan_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80026,8,1,101011,10,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_yanye_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
80027,8,1,101011,10,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,0,3;3;3,intimacy_lijian_01.lua,SettingCamera1,BattleCamera1,ResultCamera1,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,501,1,0,0
